item_id_encoded,similarity_score,item
266224,0.7478064932145616,"Philips Sonicare ProtectiveClean 5100 Gum Health, Rechargeable Electric Power Toothbrush, Black, HX6850/60"
377670,0.7396241123770072,"Ziploc Sandwich and Snack Bags for On the Go Freshness, Grip 'n Seal Technology for Easier Grip, Open, and Close, 280 Count"
172980,0.7319899115020856,"Hefty Slider Freezer Storage Bags, Gallon Size, 25 Count (Pack of 9), 225 Total"
37143,0.7262267001325559,"Affresh Dishwasher Cleaner, Helps Remove Limescale and Odor-Causing Residue, 6 Tablets & Coffee Maker Cleaner, Works with Multi-cup and Single-serve Brewers, 3 Tablets"
232747,0.7262267001325559,"Mrs. Meyer's Liquid Dish Soap, Biodegradable Formula, Limitd Edition Orange Clove, 16 fl. Oz"
377656,0.7262267001325559,"Ziploc Sandwich Bags with New Grip 'n Seal Technology, 90 Count"
306469,0.7241340900321493,Scrub Daddy Color Sponge - Scratch-Free Multipurpose Dish Sponge Color Variety Pack - BPA Free & Made with Polymer Foam - Stain & Odor Resistant Kitchen Sponge (3 Count)
65021,0.7204636358590051,"BlenderBottle Classic Shaker Bottle Perfect for Protein Shakes and Pre Workout, All Pink and Coral , 28-Ounce (Pack of 2)"
259625,0.7196980867630873,"Pacific Blue Select 2-Ply Embossed Toilet Paper (previously branded Preference), 18280/01, 550 Sheet Per Roll, 80 Rolls Per Case"
65070,0.7187398289086309,"BlenderBottle Shaker Bottle Pro Series Perfect for Protein Shakes and Pre Workout, 28-Ounce, Ash"
37172,0.717922627253944,"Affresh Washing Machine Cleaner, Cleans Front Load and Top Load Washers, Including HE, 6 Tablets"
69530,0.716729003627096,"Bounce Dryer Sheets Laundry Fabric Softener, Outdoor Fresh, 240 Count"
362670,0.7158562155722507,"Washable Face Mask with Adjustable Ear Loops & Nose Wire - 3 Layers, Made in USA"
26936,0.7104898351530764,"7AM2M Sonic Electric Toothbrush, Soft Toothbrushes for Adults and Kids with 6 Brush Heads, One Charge Use for 90 Days, 5 Modes with 2 Minutes Build in Smart Timer, Rechargeable Toothbrushes"
50740,0.7077576507494654,"BAR KEEPERS FRIEND Multipurpose Cooktop Cleaner (13 oz) - Liquid Stovetop Cleanser - Safe for Use on Glass Ceramic Cooking Surfaces, Copper, Brass, Chrome, and Stainless Steel and Porcelain Sinks']"
259243,0.7041609989159106,"PUMIE Toilet Bowl Ring Remover, TBR-6, Pumice Stone with Handle, Removes Toilet Rings; Cleans Sinks; Tubs; Showers, Safe for Porcelain, Pack of 6"
266037,0.7034502633522596,"Philips Sonicare DiamondClean Smart 9500 Rechargeable Electric Power Toothbrush, Grey, HX9924/41"
381929,0.7030339065507621,eco247 100% Compostable Large White Bowls [32 Ounces - 100 Count] Heavy Duty Bulk Disposable Bowls | Eco-Friendly Recyclable Bowls Biodegradable Natural 100% Sugar Cane Bagasse
306136,0.6995728108722374,"Scott Trusted Clean Toilet Paper, 32 Regular Rolls, Septic-Safe Toilet Tissue, 1-Ply Rolls- 8 Count (Pack of 4)"
90889,0.6987753976959514,"Clorox Toilet Bowl Cleaner With Bleach Variety Pack - (package May Vary), 24 Fl Oz (Pack of 4)"
